Timestamp,Which is your favorite chocolate chip cookie?,Which is your favorite CHIPLESS (ie no chocolate) cookie?,Which is your favorite cookie?,How old are you?,Do you work at emLab?,Comments? Questions?,id
4/4/23 14:21,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,Yes,"Okay so these answers are soft-cookie bias corrected (i.e. my opinions after I microwaved the cookies so they all became softer) because I will always prefer a soft center cookie over a crunchy center cookie. My first impressions though were slightly different and they're here in case you want to use those answers instead: 
 - Cookie A over Cookie B 
 - Cooke D over Cookie C 
 - Cookie A best overall 

Other opinions: I love the salt and the chocolate chips of Cookie B. Does Cookie C have more vanilla in it? I was picking up more of a subtle vanilla flav (or at least I thought) in Cookie C that wasn't as strong in Cookie D (even though I liked Cookie D better overall). Also can I guess that the NYT one is Cookie B/D? ",R11
4/4/23 15:13,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,"",R12
4/4/23 16:20,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,"",R13
4/4/23 16:21,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,What a tasty game :)!,R14
4/4/23 16:45,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,No,Thank you! You da best.,R15
4/4/23 16:45,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,"",R16
4/4/23 17:20,"Cookie A (if cookies came stacked, top cookie)",No preference,Cookie A,18 and up,Yes,Which one is LA and which one is NYT? A gossip going around is A NYT and B LA,R17
4/4/23 18:17,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"",R18
4/4/23 18:18,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,Under 18,No,"",R19
4/4/23 18:23,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,"",R20
4/4/23 18:40,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,"",R21
4/4/23 18:41,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,"",R22
4/4/23 18:41,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,Under 18,No,"",R23
4/4/23 19:22,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"I would love the recipe for B! haha. thank you, Tracey! The big chocolate chunks were amazing.",R24
4/4/23 19:22,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,No,"",R25
4/4/23 20:28,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,Heavily favored the chipless cookies 😜,R26
4/4/23 20:28,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,Under 18,No,Both great,R27
4/4/23 20:39,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"",R28
4/4/23 21:48,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,Thanks Tracey!! So yummy,R29
4/4/23 21:50,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"I HIGHLY value the vanilla notes in cookies A and C. I also prefer its texture which felt slightly more chewy for me. I chose B over A because I really cherish the addition of salt to B and the big chocolate chunks were a (surprisingly) big hit for me. I was fully expecting to pick C over D given the lack of chunks, but in the end the thinness of C and the saltiness of D was big enough for me to pick D over C as well! GO SALT and go J-E-T-S",R30
4/4/23 23:15,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,"",R31
4/4/23 23:17,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,All delish! Yay carbs!❤️‍🔥,R32
4/5/23 6:52,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie C,18 and up,Yes,I liked chewyness of cookie A but did not like the chocolate chips in cookie A.,R33
4/5/23 7:15,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,18 and up,Yes,"",R34
4/5/23 10:11,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,Under 18,No,Loved the overall taste test experience,R35
4/5/23 10:12,No preference,No preference,Cookie D,Under 18,No,"Carrot was the real winner here, but the only cookie she was willing to eat was cookie D, so calling that a winner",R36
4/5/23 14:40,No preference,No preference,No preference,Under 18,No,Sofia likes all the cookies 🍪,R37
4/5/23 19:05,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,They weren’t very distinguishable. A was a bit thinner than B but you could taste the salt in both. You could taste the vanilla in B too.,R38
4/5/23 20:56,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"",R39
4/5/23 21:02,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie C,18 and up,No,"",R40
4/5/23 21:04,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,"",R41
4/5/23 21:06,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,Both were fabulous but had just a little too much salt for my taste. The dough/texture was better in A but the chocolate chunks in B were better. I think I care most about the texture so I chose A over B. I would love the chocolate chunks of B in A. Cookie C also slapped. Thank you so much for these cookies.,R42
